crop,gaez,max,ind,oceania,americas,asia,europe,nafrica,ssafrica
alfalfa,alf,Yes,Yes,0,0,1,1,0,0
banana,ban,Yes,Yes,1,0,1,0,1,0
barley,brl,Yes,Yes,0,0,1,1,1,0
buckwheat,bck,Yes,Yes,0,0,1,0,0,0
cabbage,,,,0,0,0,1,0,0
carrot,car,,,0,0,1,1,0,0
cassava,csv,Yes,Yes,0,1,0,0,0,0
chickpea,chk,Yes,Yes,0,0,0,1,0,0
coconut,con,,Yes,1,1,0,0,0,0
cowpea,cow,Yes,Yes,0,0,1,0,1,1
drypea,pea,Yes,Yes,0,0,0,1,1,0
flax,flx,Yes,Yes,0,0,1,1,1,0
foxtailmillet,fml,Yes,Yes,0,0,1,1,1,0
greengram,grm,Yes,Yes,0,0,1,0,0,1
groundnut,grd,Yes,Yes,0,1,0,0,0,0
indrice,rcd,Yes,Yes,0,0,1,0,0,1
maize,mze,Yes,Yes,0,1,0,0,0,0
oat,oat,Yes,Yes,0,0,0,1,1,0
oilpalm,olp,,Yes,0,0,0,0,1,1
olive,olv,,,0,0,0,1,1,0
pearlmillet,pml,Yes,Yes,0,0,1,0,1,1
phaseolusbean,phb,Yes,Yes,0,1,0,0,0,0
pigeonpea,pig,Yes,Yes,0,0,1,0,0,1
rye,rye,Yes,Yes,0,0,0,1,0,0
sorghum,srg,Yes,Yes,0,0,0,0,1,1
soybean,soy,Yes,Yes,0,0,1,0,0,0
sunflower,sfl,,Yes,0,1,0,0,0,0
sweetpotato,spo,Yes,Yes,0,1,0,0,0,0
wetrice,rcw,Yes,Yes,0,0,1,0,0,1
wheat,whe,Yes,Yes,0,0,1,1,1,0
winterwheat,,Yes,Yes,0,0,1,1,1,0
yams,yam,Yes,Yes,0,0,1,0,0,1
springwheat,,Yes,Yes,0,0,1,1,1,0
sorghumstr,,,,0,0,0,0,1,1
sorghumtrh,,,,0,0,0,0,1,1
sorghumtrl,,,,0,0,0,0,1,1
whitepotato,wpo,Yes,Yes,0,1,0,0,0,0
rape,rsd,Yes,Yes,0,0,1,1,0,0
coffee,,,Yes,0,0,0,0,0,0
cotton,,,Yes,0,0,0,0,0,0
tea,,,Yes,0,0,0,0,0,0
sugarbeet,,,Yes,0,0,0,0,0,0
